Post URL,Account,Views,Likes,Comments,Shares,Caption,Hashtags,Date posted,Date Collected
https://www.tiktok.com/@jaadiee/video/6865297338781519110,jaadiee,59600000,9700000,62100,186900,Grateful Gramps 👴🏻💛 #gramps #opa #streetwear #fashion #drake #mode #makeover,#gramps #opa #streetwear #fashion #drake #mode #makeover,8/26/2020,04/20/2023
https://www.tiktok.com/@deannagiulietti/video/6916914133887716613,deannagiulietti,44200000,8000000,15500,12900,She is righting her wrongs. #ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes  #fashion,#ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes #fashion,1/12/2021,04/20/2023
https://www.tiktok.com/@crescentshay/video/6930038872109812998,crescentshay,34200000,7800000,70600,50900,"🐸 making a frog dress 🐸 (this is part 1, the base dress. part 2 will have the coat!) #frogtok #fashion #diy #frog",#frogtok #fashion #diy #frog,2/17/2021,04/20/2023
https://www.tiktok.com/@nickelodeon/video/6939314340780625158,nickelodeon,56700000,9700000,99600,179300,slime looks good on ya @charlidamelio 💚 #kca #slime #charlidamelio #surprise #fashion #slimed,#kca #slime #charlidamelio #surprise #fashion #slimed,3/14/2021,04/20/2023
https://www.tiktok.com/@ceci.monge/video/6964798580116688134,ceci.monge,23100000,6500000,119900,82100,Ouch @converse #internship #design #smalldesigner #plzstopstealing #fashion #TWDSurvivalChallenge #fyp,#internship #design #smalldesigner #plzstopstealing #fashion #twdsurvivalchallenge #fyp,5/21/2021,04/20/2023
https://www.tiktok.com/@mood_m1221/video/6978365096766508294,mood_m1221,36900000,6600000,151500,119900,"The sad thing about the fashion runway, this girl suffered😔 #runway #sadgirl #sad #model #foryou #supermodel #design #pfw #fashion",#runway #sadgirl #sad #model #foryou #supermodel #design #pfw #fashion,6/27/2021,04/20/2023
https://www.tiktok.com/@dymon98/video/6994074972683603205,dymon98,19300000,6000000,79600,83600,Why be like everyone else? #haircut  #fypage #fashion #glowup,#haircut #fypage #fashion #glowup,8/8/2021,04/20/2023
https://www.tiktok.com/@_valentinemoon_/video/7017520592807103749,_valentinemoon_,94400000,12400000,77300,82000,Thank you sm for letting me know  my videos are being stolen! I have reported them so hopefully they get taken down ❤️ #disney #sewing #fashion #diy,#disney #sewing #fashion #diy,10/10/2021,04/20/2023
https://www.tiktok.com/@vivacious.honey/video/7029001518082936111,vivacious.honey,55300000,6100000,16300,34900,Team DAY or NIGHT? ☀️🌙 OUTFITS ON MY LTK ‼️ #fyp #foryou #fashiontok #inspo #aesthetic #fashion #ootd #outfit #style #fallfashion #winterfashion,#fyp #foryou #fashiontok #inspo #aesthetic #fashion #ootd #outfit #style #fallfashion #winterfashion,11/10/2021,04/20/2023
https://www.tiktok.com/@farrisfilms/video/7082392210632723754,farrisfilms,41100000,6300000,34700,30200,You barely get wet on this ride 😐 @thatstraightfaceguy #fyp #foryou #AFairShotWithBlock #fashion #lifeadvice,#fyp #foryou #afairshotwithblock #fashion #lifeadvice,4/3/2022,04/20/2023
https://www.tiktok.com/@coristrike/video/7127803333208968494,coristrike,28200000,6300000,43100,59600,@rachleahx is gonna eat this up 💀#PostitAffirmations #fashion #ootd #styling #thneed,#postitaffirmations #fashion #ootd #styling #thneed,8/3/2022,04/20/2023
https://www.tiktok.com/@gioz111/video/7130344602581650693,gioz111,65700000,10000000,12300,12400,Cruella hace un vestido con capullos de polillas #parati #cruella #polilla #dress #fashion #disney #diseñodemoda #emmastone,#parati #cruella #polilla #dress #fashion #disney #diseñodemoda #emmastone,8/10/2022,04/20/2023
https://www.tiktok.com/@iconic_modelss/video/7148142149866097926,iconic_modelss,29000000,6300000,16700,13500,Schiaparelli by Daniel Roseberry | #schiaparelli #danielroseberry #fashion ,#schiaparelli #danielroseberry #fashion,9/27/2022,04/20/2023
https://www.tiktok.com/@jaadiee/video/7198199504405843205,jaadiee,105300000,14600000,116300,338200,Replying to @Big T. Styling the Big Red Boot 🅱️🥵👴🏻 #gramps #bigredboot #mschf #streetwear #fashion #styling #outfit #astroboy ,#gramps #bigredboot #mschf #streetwear #fashion #styling #outfit #astroboy,2/9/2023,04/20/2023
https://www.tiktok.com/@jaadiee/video/7199683549602073862,jaadiee,43800000,8700000,75900,242200,Ready for their date 🥹💐  #grwm #valentinesday #vday #date #gramps #grandparents #fashion #streetwear #style ,#grwm #valentinesday #vday #date #gramps #grandparents #fashion #streetwear #style,2/13/2023,04/20/2023
https://www.tiktok.com/@hahahallberg/video/7204888387323530501,hahahallberg,115600000,8600000,31000,57800,@AVAVAV Fashion Show  #milanfashionweek #fail #fashionfail #fashionweek #funny #lol #fashion ,#milanfashionweek #fail #fashionfail #fashionweek #funny #lol #fashion,2/27/2023,04/20/2023
https://www.tiktok.com/@sh1ryinyin/video/6847003743809015046,sh1ryinyin,43700000,5900000,72600,272000,Take me back to China😫 #fashion #streetwear #xyzbca,#fashion #streetwear #xyzbca,7/8/2020,04/20/2023
https://www.tiktok.com/@nuisance.clo/video/6928949725936864518,nuisance.clo,27500000,4400000,13100,87300,How do you guys like this embroidery design?? #smallbusiness #fyp #streetwear #embroideredsweatshirt,#smallbusiness #fyp #streetwear #embroideredsweatshirt,2/14/2021,04/20/2023
